paper_id,cited_by_count
W2798727047,146
W2554915555,144
W2347085857,134
W2932637973,117
W2796063124,113
W2141212887,85
W3153266325,85
W2289899728,84
W3030654960,71
W3024404575,60
W2944033411,52
W2796359634,50
W2786167576,48
W2986625059,41
W3031885338,37
W3157061151,23
W4383683112,17
W2394957087,69
W2029624068,63
W2610599553,61
W2796249492,58
W2345910351,55
W2795849376,53
W2407964224,44
W4255717503,42
W2796122895,41
W2940975637,38
W4385567227,33
W4310854123,27
W2759657490,24
W2941380206,24
W4234006191,23
W4297984000,23
W2788603415,21
W2526170246,19
W2798397965,18
W3091331558,18
W4300416100,2
W2759170062,22
W2949629417,20
W2796382388,17
W2965050397,17
W3098410977,13
W3137614387,13
W2970634945,12
W4283391789,12
W4309618431,11
W2970713124,6
W2462672764,10
W2795714070,10
W2889088930,6
W3031177401,5
W3168901912,4
W2963046431,4
W3199344366,3
W4310118366,1
W2580175021,3
W2765904353,3
W1487822924,2
W4291656979,2
W3107685711,1
W4385570061,1
W4385570118,1
W2577255746,345
W4226146865,243
W4287332702,68
W3034426742,60
W2801021082,28
W3024652448,27
W3126553126,27
W3209540659,23
W2950191064,11
W3160101512,7
W4388716388,7
W2952203969,5
W4221166194,4
W4290741646,4
W2952349142,3
W2345157264,2
W2963118426,2
W2996283994,2
W3146267786,2
W3209547093,1
W4297795891,1
W2230832342,0
W2907144459,0
W2963521484,0
W3043761458,0
W3048682384,0
W311414841,0
W3131923042,0
W3209211538,0
W3212386673,0
W3217337089,0
W4233263761,0
W4298464906,0
W4301662822,0
W4312054933,0
W4379540127,0
W4383851677,0
W2610364475,427
W2989168403,232
W2898852014,226
W2795908329,209
W3029264758,188
W2795389852,142
W3134822068,137
W3162205072,115
W3191136298,101
W2795429875,89
W3029662682,81
W3207098447,81
W2617444771,74
W4205667414,74
W2795736453,73
W3196190653,65
W2941513909,62
W3162683674,41
W2735956829,27
W4382469269,24
W2266964046,88
W2588173118,68
W2899446783,62
W2070721236,52
W2766927845,49
W2611092176,43
W2319960759,38
W3118703828,36
W3115135580,30
W4291961169,25
W4225114761,20
W4309618088,20
W2807472134,19
W2319649846,16
W2610598874,16
W3163358739,16
W3130997394,14
W4365999247,13
W4383652543,11
W4366547368,10
W2039924064,25
W2898745467,23
W3031556870,23
W2097890196,18
W2800101026,17
W2057398686,15
W2610426090,15
W2991207333,12
W4225117358,11
W2795679468,10
W4225566891,10
W3173830558,9
W2563059792,8
W4224979100,6
W2796448055,5
W3162099679,4
W2129725375,14
W2625439892,13
W2288434511,12
W2940884656,11
W2916179104,8
W1963627945,7
W4285017816,5
W2741878722,7
W1965029319,6
W2730071467,8
W2780954509,1
W4235274512,1
W4308426523,1
W3043315258,52
W3130767973,49
W2735739273,41
W4241412856,8
W4368754749,3
W4243824835,1
W2519321978,0
W2810227550,0
W2946779041,0
W3084162666,0
W3123439736,0
W3190236271,0
W3205960749,0
W3210518552,0
W4205371473,0
W4205459593,0
W4243540418,0
W4256174051,0
W4285471692,0
W4312255061,0
W4383760381,0
W4393432180,0
W4393467300,0
W4393659577,0
W4393884168,0
W4394039929,0
W4413665927,0
W4413699368,0
W4413704314,0
W4413715734,0
W7963451,0
W2795651511,220
W2610215278,196
W2796034586,192
W2795552328,124
W2941111231,90
W2414704464,79
W2611824095,75
W3119940315,75
W3163469193,73
W2952618410,65
W3004491547,62
W3030399695,61
W3163763835,61
W4225154064,42
W3028989981,41
W3158839228,40
W3205497516,40
W4225088767,36
W4362609983,35
W4308450971,9
W2795442664,62
W2995482541,54
W2292030542,51
W3028953052,51
W2898456233,46
W3163492354,40
W3207800640,37
W2952910435,36
W3138919596,36
W2980669002,35
W2809761957,30
W3031065629,28
W3031360622,26
W2984015578,25
W3120070483,25
W2798517209,22
W4280492076,21
W4312646439,21
W3004994102,19
W4224982662,19
W4385970069,19
W3133938580,10
W4362452224,10
W4388297913,6
W4362564160,3
W3004476266,21
W2531591332,15
W3029899401,12
W2415315904,11
W3162770778,9
W3013672613,7
W3162177365,7
